Designator,Mid X,Mid Y,Rotation,Layer
C1,72.5,-10.0,90.0,top
C2,77.0,-10.0,90.0,top
C3,53.0,-36.5,270.0,top
C4,65.0,-32.775,270.0,top
C5,65.0,-36.275,90.0,top
D1,69.5,-2.0,90.0,top
FID1,26.894,-10.9982,0.0,top
FID2,26.894,-31.295,0.0,top
FID3,61.707,-50.5,0.0,top
J1,74.79,-1.975,270.0,top
J2,6.952,-31.5,0.0,top
J3,6.952,-11.0,0.0,top
J4,61.952,-50.5,0.0,top
R1,66.0,-2.0,270.0,top
R2,53.0,-30.5,90.0,top
R3,53.5,-53.0,0.0,top
R4,69.5,-53.0,0.0,top
RV1,26.896752,-32.5,180.0,top
RV2,26.896752,-12.2032,180.0,top
U1,59.0,-33.5,270.0,top
